nome_escola,A,B,C,D,E,F,total_exames,total_alunos,ANO,Latitude,Longitude,coordenadas,longUTM,LatUTM
Colégio Cristo Rei,137,20,5,24,8,0,194,0,2003,"-22,1197155","-51,38882519","-51.38882518798648, -22.11971549619148",459898,7553870
Creche Anita Ferreira B. de Oliveira,94,3,1,3,10,3,114,0,2003,"-22,12931948","-51,39093791","-51.3909379079446, -22.1293194767267",459683,7552807
Creche C. S. Vicente Palotti – Lar dos Meninos,86,5,0,13,17,3,124,0,2003,"-22,09893604","-51,42313062","-51.42313061703766, -22.098936040183247",456354,7556161
Creche Clotilde Veiga de Barros,87,1,2,2,12,1,105,0,2003,"-22,10980342","-51,39429739","-51.3942973891786, -22.1098034221683",459331,7554966
Creche Meimei,77,1,0,4,15,0,97,0,2003,"-22,12970947","-51,41285799","-51.4128579891779, -22.129709471891232",457423,7552758
Creche UNESP,37,4,0,1,9,0,51,0,2003,"-22,11886076","-51,4092135","-51.409213504521, -22.1188607558322",457795,7553959
Creche Walter Figueiredo,56,2,10,2,12,2,84,0,2003,"-22,10895326","-51,38626791","-51.3862679124659, -22.1089532609603",460159,7555062
EE A. Arruda Mello,141,111,7,70,38,1,368,0,2003,"-22,12223576","-51,38954147","-51.389541472641135, -22.122235760751867",459825,7553591
EE Anna Antônio,154,115,46,93,80,32,520,826,2003,"-22,0910867","-51,38581814","-51.3858181413021, -22.0910867030776",460200,7557040
EE Antônio Fioravante de Menezes,113,164,140,0,9,1,427,857,2003,"-22,12970947","-51,3827848","-51.3827848045204, -22.1297094718912",460524,7552766
EE Arlindo Fantini,93,89,35,37,58,9,321,706,2003,"-22,10912648","-51,41076015","-51.41076014685, -22.1091264813455",457633,7555037
EE Celestina M. Teixeira,93,43,1,39,46,9,231,333,2003,"-21,95928647","-51,30795348","-51.30795347820825, -21.95928646996887",468203,7571647
EE Clotilde Veiga de Barros,179,114,6,32,247,31,609,1225,2003,"-22,14705769","-51,38574058","-51.3857405756843, -22.1470576858688",460224,7550845
EE Fátima Ap. Costa Falcon,104,87,13,23,42,3,272,759,2003,"-22,11761457","-51,43414793","-51.43414793335647, -22.11761457194364",455223,7554090
EE Fernando Costa,221,120,249,0,19,2,611,1695,2003,"-22,12019229","-51,3873924","-51.3873923952734, -22.1201922926299",460046,7553818
EE Florivaldo Leal,189,158,10,6,72,7,442,1161,2003,"-22,12919703","-51,39326659","-51.3932665939704, -22.1291970251408",459443,7552820
EE Francisco Pessoa,251,367,201,0,58,5,882,1719,2003,"-22,15301289","-51,45192393","-51.4519239278068, -22.1530128905198",453401,7550167
EE Hugo Miele,222,264,11,5,81,16,599,1020,2003,"-22,11208739","-51,39147965","-51.39147965164236, -22.11208738847396",459622,7554714
EE João Alfredo da Silva (Eneida),13,28,1,9,16,8,75,80,2003,"-21,91387708","-51,30195046","-51.30195046100961, -21.91387708270785",468813,7576674
EE José Foz,91,142,18,63,55,13,382,435,2003,"-22,12208117","-51,37673732","-51.37673732041002, -22.12208117264124",461146,7553612
EE Maria Luiza Bastos,172,125,12,27,52,8,396,758,2003,"-22,13214161","-51,40524606","-51.40524605903943, -22.13214160526277",458208,7552491
EE Maria Luiza Formozinho Ribeiro,166,108,32,30,30,6,372,884,2003,"-22,12205514","-51,39966794","-51.39966793575265, -22.12205514355007",458781,7553609
EE Marieta Ferraz de Assunção,144,116,9,83,77,26,455,746,2003,"-22,13826568","-51,38899915","-51.38899915479362, -22.13826568169748",459886,7551817
EE Marrey Junior,146,158,30,145,99,52,630,1407,2003,"-22,10681416","-51,39622964","-51.39622963760267, -22.10681415866147",459131,7555296
EE Miguel Omar Bareto,102,72,39,113,73,29,428,950,2003,"-22,13297741","-51,437803","-51.43780300136813, -22.13297740614673",454851,7552389
EE Mirella P. Desidere,138,91,0,41,42,5,317,1339,2003,"-22,1103463","-51,4287836","-51.42878359712329, -22.11034630426748",455774,7554896
EE Pedro Tofano –Montalvão,88,81,8,68,70,16,331,591,2003,"-22,0511197","-51,34701711","-51.34701710876899, -22.0511197037584",464193,7561474
EE Placídio Braga Nogueira,247,246,98,67,151,109,918,1050,2003,"-22,13864919","-51,37491486","-51.37491485903934, -22.13864918512999",461338,7551778
EE Tannel Abud,131,133,33,54,58,10,419,1179,2003,"-22,11460143","-51,37609601","-51.37609600506788, -22.11460142859055",461210,7554440
EE Zilda Ruiz,39,18,8,26,51,10,152,0,2003,"-22,13970866","-51,38395887","-51.38395887264059, -22.139708662143217",460406,7551659
EM Alayde T. F. Motta,147,43,47,94,121,34,486,657,2003,"-22,14473417","-51,38256092","-51.38256091616356, -22.14473416973062",460551,7551103
EM Antonio Moreira Lima,189,81,25,44,109,36,484,508,2003,"-22,16016961","-51,45548561","-51.45548561137047, -22.16016960807991",453037,7549373
EM Aparecida Alves,114,14,8,25,28,4,193,494,2003,"-22,14361969","-51,39497096","-51.39497095849231, -22.14361969237946",459271,7551223
EM Aziz Felipe,21,0,0,0,1,0,22,76,2003,"-22,13422737","-51,3772764","-51.3772763958197, -22.13422737453585",461093,7552267
EM Carlos A. A. Campos (Eneida),33,28,6,19,20,8,114,53,2003,"-21,91682868","-51,3019639","-51.30196390452799, -21.91682867862754",468812,7576348
EM Carlos Braga (Ameliópolis),9,13,4,43,20,4,93,0,2003,"-21,80226704","-51,29735029","-51.29735028788697, -21.80226703609472",469264,7589029
EM Carlos Castilho Cabral,140,51,60,15,72,32,370,367,2003,"-22,09901054","-51,39297155","-51.39297155109593, -22.09901054208509",459465,7556161
EM Carmem Pereira Delfim,194,55,29,37,104,47,466,457,2003,"-22,13491679","-51,38146344","-51.38146344184742, -22.13491678924642",460662,7552190
EM Catarina Martins Artero,111,69,77,15,34,23,329,0,2003,"-22,1101911","-51,38068432","-51.38068432225982, -22.11019110237303",460735,7554927
EM Ditão,259,75,27,11,132,12,516,707,2003,"-22,10844038","-51,43157964","-51.43157963945204, -22.10844038037896",455485,7555107
EM Domingos F. de Medeiros,189,33,6,50,118,25,421,541,2003,"-22,1050689","-51,3892446","-51.38924460397457, -22.10506889832062",459851,7555491
EM Ederle Marangoni Dias,35,0,0,18,0,6,59,361,2003,"-22,10983998","-51,41971103","-51.41971103335685, -22.10983998169054",456710,7554955
EM Edna Carnelós Barbosa,97,0,2,0,3,0,102,149,2003,"-22,13865497","-51,38462796","-51.3846279645877, -22.13865497431422",460336,7551775
EM Edson Lopes,104,0,0,0,1,1,106,135,2003,"-22,14321923","-51,3936022","-51.39360220147683, -22.143219229454",459412,7551268
EM Eluísa R. Rodrigues,145,24,130,0,21,15,335,325,2003,"-22,11928173","-51,3870863","-51.38708629701948, -22.11928173266724",460077,7553919
EM Emilio Becker,279,119,70,7,135,26,636,627,2003,"-22,12770858","-51,377025","-51.37702499766941, -22.12770857779658",461117,7552989
EM Ettore Marangoni,50,0,0,13,13,1,77,139,2003,"-22,05108147","-51,34593889","-51.34593888602856, -22.05108146789168",464304,7561478
EM Francisca A. Góes Brandão,129,37,39,125,24,18,372,0,2003,"-22,13354296","-51,39984915","-51.39984915164156, -22.13354295954356",458765,7552337
EM Giseli Dalefi,153,34,17,117,95,35,451,741,2003,"-22,12946427","-51,44598922","-51.44598922040981, -22.12946427152818",454006,7552775
EM Ivo Garrido,59,25,0,28,38,6,156,0,2003,"-22,10222191","-51,43296095","-51.43296095109594, -22.10222191202309",455341,7555794
EM João Bohac,91,34,31,55,71,29,311,324,2003,"-22,14261288","-51,38408509","-51.38408509342323, -22.14261287878046",460393,7551337
EM João Franco de Godoy,262,169,8,0,130,7,576,598,2003,"-22,11324649","-51,39544043","-51.39544042835509, -22.1132464852897",459214,7554585
EM João Sebastião Lisboa,280,128,0,0,94,28,530,0,2003,"-22,12213719","-51,39951685","-51.39951685164191, -22.12213719468566",458796,7553599
